occ_code,occ_title,match_status,imputed_from,dv_beta_imputed,exposure_residual
29-1212,Cardiologists,direct,,0.3462,0
29-1213,Dermatologists,direct,,0.3824,0
29-1214,Emergency Medicine Physicians,direct,,0.4412,0
29-1215,Family Medicine Physicians,direct,,0.4375,0
29-1216,General Internal Medicine Physicians,direct,,0.4571,0
29-1217,Neurologists,direct,,0.4565,0
29-1218,Obstetricians and Gynecologists,direct,,0.3929,0
29-1221,"Pediatricians, General",direct,,0.4833,0
29-1222,"Physicians, Pathologists",direct,,0.4697,0
29-1223,Psychiatrists,direct,,0.4783,0
29-1224,Radiologists,direct,,0.4889,0
29-1229,"Physicians, All Other",direct,,0.4164,1
29-1241,"Ophthalmologists, Except Pediatric",direct,,0.4265,1
29-1242,"Orthopedic Surgeons, Except Pediatric",direct,,0.3333,1
29-1243,Pediatric Surgeons,direct,,0.3611,0
29-1291,Acupuncturists,direct,,0.1667,0
29-1292,Dental Hygienists,direct,,0.1875,0
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",direct,,0.4964,1
29-2031,Cardiovascular Technologists and Technicians,direct,,0.3571,0
29-2032,Diagnostic Medical Sonographers,direct,,0.3026,0
29-2033,Nuclear Medicine Technologists,direct,,0.2903,0
29-2034,Radiologic Technologists and Technicians,direct,,0.3772,0
29-2035,Magnetic Resonance Imaging Technologists,direct,,0.3222,0
29-2036,Medical Dosimetrists,direct,,0.45,0
29-2042,Emergency Medical Technicians,direct,,0.2083,0
29-2043,Paramedics,direct,,0.1538,0
29-2051,Dietetic Technicians,direct,,0.5435,0
29-2052,Pharmacy Technicians,direct,,0.4265,0
29-2053,Psychiatric Technicians,direct,,0.12,0
29-2055,Surgical Technologists,direct,,0.0667,0
29-2056,Veterinary Technologists and Technicians,direct,,0.1639,0
29-2057,Ophthalmic Medical Technicians,direct,,0.3289,0
29-2061,Licensed Practical and Licensed Vocational Nurses,direct,,0.25,0
29-2072,Medical Records Specialists,direct,,0.6176,0
29-2081,"Opticians, Dispensing",direct,,0.2857,0
29-2091,Orthotists and Prosthetists,direct,,0.2759,0
29-2092,Hearing Aid Specialists,direct,,0.2,0
29-2099,"Health Technologists and Technicians, All Other",direct,,0.4114,1
29-9021,Health Information Technologists and Medical Registrars,direct,,0.6562,0
29-9091,Athletic Trainers,direct,,0.2791,0
29-9092,Genetic Counselors,direct,,0.5,0
29-9093,Surgical Assistants,direct,,0.0392,0
29-9099,"Healthcare Practitioners and Technical Workers, All Other",direct,,0.3786,1
31-1131,Nursing Assistants,direct,,0.1017,0
31-1132,Orderlies,direct,,0.0,0
31-1133,Psychiatric Aides,direct,,0.125,0
31-2011,Occupational Therapy Assistants,direct,,0.2674,0
31-2012,Occupational Therapy Aides,direct,,0.2407,0
31-2021,Physical Therapist Assistants,direct,,0.1538,0
31-2022,Physical Therapist Aides,direct,,0.1818,0
31-9011,Massage Therapists,direct,,0.0741,0
31-9091,Dental Assistants,direct,,0.2667,0
31-9092,Medical Assistants,direct,,0.359,0
31-9093,Medical Equipment Preparers,direct,,0.1111,0
31-9094,Medical Transcriptionists,direct,,0.875,0
31-9095,Pharmacy Aides,direct,,0.38,0
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,direct,,0.2222,0
31-9097,Phlebotomists,direct,,0.1829,0
31-9099,"Healthcare Support Workers, All Other",direct,,0.3651,1
33-1011,First-Line Supervisors of Correctional Officers,direct,,0.2826,0
