supersector_code,supersector_name,year,quarter_label,quarter,event_time,post,employment,avg_hourly_earnings,log_emp,log_wage,log_wbill,n_months,preliminary,aiie_score,aiie_zscore,n_naics
30,Manufacturing,2023,Q2,2,2,1,12876.0,32.18,9.463120392418698,3.471345141564237,12.934465533982936,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2023,Q3,3,3,1,12865.0,32.64333333333334,9.462265724715843,3.4856406490645937,12.947906373780436,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2023,Q4,4,4,1,12856.0,33.04666666666666,9.461565907417349,3.497920703924318,12.959486611341667,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2024,Q1,1,5,1,12854.333333333334,33.43666666666667,9.46143625785992,3.509653102227284,12.971089360087204,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2024,Q2,2,6,1,12824.0,33.79666666666667,9.459073694289389,3.5203621782963785,12.979435872585768,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2024,Q3,3,7,1,12778.666666666666,34.193333333333335,9.455532392807012,3.532030693293013,12.987563086100025,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2024,Q4,4,8,1,12700.333333333334,34.48666666666667,9.449383518821405,3.5405727759072594,12.989956294728664,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2025,Q1,1,9,1,12670.0,34.95333333333333,9.446992273315184,3.554013838476277,13.001006111791462,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2025,Q2,2,10,1,12649.666666666666,35.27,9.445386143347354,3.563032744247961,13.008418887595314,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2025,Q3,3,11,1,12617.333333333334,35.596666666666664,9.442826808960014,3.572252000515344,13.015078809475355,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2025,Q4,4,12,1,12592.0,35.98,9.440816970657185,3.582963228522387,13.023780199179573,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2026,Q1,1,13,1,12587.666666666666,36.376666666666665,9.440472777587951,3.5939275434568887,13.034400321044842,3,1,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2026,Q2,2,14,1,12596.0,36.68,9.441134582220917,3.602231647388264,13.04336622960918,1,1,-0.4842463768115944,-0.7264192696790112,69
31,Durable goods,2017,Q1,1,-23,0,7670.0,27.62,8.945071894361302,3.318540147981146,12.263612042342448,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2017,Q2,2,-22,0,7684.666666666667,27.766666666666666,8.946982280492849,3.323836260504687,12.270818540997537,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2017,Q3,3,-21,0,7712.666666666667,27.89333333333333,8.950619277920724,3.328387711648503,12.279006989569227,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2017,Q4,4,-20,0,7763.333333333333,27.993333333333336,8.957167074210277,3.3319663865879376,12.289133460798215,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2018,Q1,1,-19,0,7828.333333333333,28.146666666666665,8.965504909792985,3.33742893431201,12.302933844104995,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2018,Q2,2,-18,0,7888.666666666667,28.27,8.973182409276394,3.341801171705499,12.314983580981892,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2018,Q3,3,-17,0,7939.666666666667,28.43,8.979626571831805,3.3474449256629084,12.327071497494712,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2018,Q4,4,-16,0,7986.0,28.646666666666665,8.985445287623167,3.35503708967874,12.340482377301909,3,0,-0.13620588235294115,-0.2661683208611494,34
